molecule,conformer_id,plane_angle_deg,interplane_distance_A,pi_overlap_pct,centroid_distance_A,slip_stack_A,bridge_dihedral_L_deg,bridge_dihedral_R_deg,energy_kcal_mol,geometry_warnings,rel_energy_kcal_mol,classification,angle_bin,dist_bin,overlap_bin
mol_641,0,44.96348819693079,2.678207211989578,22.149546972312038,6.066523719973409,5.443336860295073,-117.75068554310278,-178.57026994792813,129.22638,,0.0,monomer,40-60,<3.0,10-25%
mol_642,0,52.64185380271426,6.689425416426384,56.68070336424753,8.775436272345667,5.679777228736065,-117.58421696969089,-177.73449598812803,130.13379,interplane_distance unreliable at angle 52.6 deg (>50 deg),0.0,monomer,40-60,5.0-7.0,50-70%
mol_643,0,32.66907730793931,9.031147956027258,69.0320957820382,9.647283777701368,3.392410777580552,-117.55389441568533,-178.94746997525996,130.50668,,0.0,monomer,20-40,>7.0,50-70%
mol_644,0,23.16168270409423,8.189127303989268,68.77826352125963,8.26336377360939,1.1051582936654298,-117.61706775472705,179.73954579960164,131.25357,,0.0,monomer,20-40,>7.0,50-70%
mol_645,0,68.08758517572464,1.5241771567936857,0.5933472919744611,8.367010668542259,8.227013523886313,-117.4337221548757,-179.61526252992496,131.46156,"interplane_distance unreliable at angle 68.1 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,60-80,<3.0,0-10%
mol_646,0,76.10780299580074,3.519303077285825,3.6172032018724183,8.245146922887427,7.456336475120106,-115.43635217362991,179.76483683512322,131.50838,interplane_distance unreliable at angle 76.1 deg (>50 deg),0.0,monomer,60-80,3.0-3.6,0-10%
mol_647,0,77.63271177190167,2.332193713177833,0.0,6.833210637394402,6.422899664420565,-122.63942634537023,178.38091601754925,132.36667,interplane_distance unreliable at angle 77.6 deg (>50 deg),0.0,monomer,60-80,<3.0,0-10%
mol_648,0,73.70763793410406,0.26259572366666467,0.0,7.412826335818209,7.408173713602563,-117.49575685560089,-176.75627553082282,132.48483,"interplane_distance unreliable at angle 73.7 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,60-80,<3.0,0-10%
mol_649,0,76.1218995716575,4.564527229245572,58.655623695056505,6.6525278184311265,4.839547246228283,-121.04092141284559,-179.0061749060825,133.33517,interplane_distance unreliable at angle 76.1 deg (>50 deg),0.0,monomer,60-80,4.2-5.0,50-70%
mol_650,0,62.5281623306861,1.5086852252770893,0.0,8.176950750279715,8.036565962121546,-116.80467262748313,-178.71154974924977,134.64037,"interplane_distance unreliable at angle 62.5 deg (>50 deg); CRITICAL: likely measuring edge-to-face, not pi-pi distance",0.0,monomer,60-80,<3.0,0-10%
mol_651,0,33.309025869598685,1.3310658841784613,0.0,9.597084669966186,9.504330474813898,-117.77756441194096,179.91573375175113,135.12091,,0.0,monomer,20-40,<3.0,0-10%
